Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2024-04-25,1442.5784912109375,1450.483166375014,1424.3236561270523,1425.3117405225619,15943926
2024-04-26,1435.2421875,1447.5437912682185,1432.7225237808307,1446.5062542977878,9413848
2024-04-29,1447.568359375,1450.4091019997668,1432.7223672737166,1432.7223672737166,7247974
2024-04-30,1449.519775390625,1465.4031834424802,1445.4439273514386,1450.507859763761,11474262
2024-05-02,1449.0753173828125,1459.7218309784546,1446.6791643138517,1454.460329459568,14512646
2024-05-03,1416.9130859375,1457.3750954799905,1399.275802819383,1453.4722101911175,17226958
2024-05-06,1402.610595703125,1422.841600588335,1401.1037428015688,1418.3952205864964,7394208
2024-05-07,1384.775634765625,1403.8209867220144,1375.4135586957902,1399.1028593353728,14517472
2024-05-08,1401.6473388671875,1415.8756594095175,1380.8481115524094,1380.8481115524094,9439002
2024-05-09,1377.5133056640625,1406.7853090212204,1373.4374570953444,1396.1634006300155,11009612
2024-05-10,1390.65478515625,1393.1990543318577,1371.535254832905,1380.106935558881,10505096
2024-05-13,1385.986083984375,1390.2101693574684,1367.5089520262873,1383.2195197456997,8456620
2024-05-14,1403.15380859375,1410.0703989131912,1383.3427901196658,1384.2814219881418,7188300
2024-05-15,1399.3994140625,1412.9361236084007,1396.188139403763,1403.5740469957013,5046534
2024-05-16,1408.3660888671875,1410.4904944706304,1381.3667306256436,1401.6471872524828,14711774
2024-05-17,1418.5928955078125,1420.0750222861304,1396.4104463053004,1406.093722836626,10916476
2024-05-21,1419.0128173828125,1424.6448506468714,1408.6132041549795,1408.6132041549795,11176128
2024-05-22,1443.24560546875,1451.2737917888355,1419.1610465084934,1419.1610465084934,10281604
2024-05-23,1468.3428955078125,1474.4442444107415,1437.6628261266358,1441.1705740518107,14608260
2024-05-24,1462.6119384765625,1470.7636348065282,1458.5113640783345,1465.9467233388211,7094776
2024-05-27,1448.77880859375,1467.2066075031105,1444.134859977049,1462.587264504762,6629010
2024-05-28,1438.8485107421875,1460.8828419616084,1435.4396676765145,1450.5079553599196,7820162
2024-05-29,1423.607421875,1440.6271526936466,1421.310053120064,1429.264181324664,7383556
2024-05-30,1407.8720703125,1423.2368313836507,1403.178669288835,1418.3951935729253,13206858
2024-05-31,1413.35595703125,1425.0647331073133,1405.3030450073677,1414.245257118902,31069832
2024-06-03,1492.32861328125,1496.4539141466187,1441.6152266357983,1465.3292536675044,21527942
2024-06-04,1380.625732421875,1480.1999676014107,1343.1032493273078,1480.1999676014107,36709098
2024-06-05,1403.8209228515625,1414.0970248192752,1367.6076051704213,1405.0560283617258,17464890
2024-06-06,1414.5416259765625,1426.4974232883105,1404.4137607114592,1417.9011371144834,17855722
2024-06-07,1452.4345703125,1454.4601915157414,1409.5023527154926,1411.478521453965,18558696
2024-06-10,1453.867431640625,1475.5558362929214,1450.5819785928986,1452.4346368701142,9251760
2024-06-11,1439.3179931640625,1456.1154291491666,1437.3418242246385,1451.4960860069511,11774902
2024-06-12,1445.888671875,1458.4126908916728,1437.835879864395,1440.1331280315808,10081742
2024-06-13,1447.790771484375,1454.7073627830548,1442.7021123343332,1454.4603416652449,9181160
2024-06-14,1459.9442138671875,1462.0438933040555,1439.8613252368543,1452.4841280922399,8157998
2024-06-18,1463.3778076171875,1469.6768460329972,1453.8180422457062,1469.6273935638167,7196766
2024-06-19,1441.2694091796875,1469.7756214798555,1438.650961260282,1469.7756214798555,8725874
2024-06-20,1456.14013671875,1465.181134372769,1432.8213657240578,1441.6153422433538,16113776
2024-06-21,1436.872314453125,1457.1280450509373,1423.4096642387256,1456.0659025463858,31170360
2024-06-24,1424.2989501953125,1432.2283517054532,1420.3713387903338,1428.3007403004744,8878386
2024-06-25,1436.822998046875,1438.576872033328,1423.8296636688654,1425.8058325289194,7045386
2024-06-26,1495.9844970703125,1500.875466568816,1427.905458276952,1428.8194845866847,22014882
2024-06-27,1512.3126220703125,1519.1797603831344,1488.0551018777237,1495.7127559544517,28383030
2024-06-28,1546.7474365234375,1562.1615299634889,1512.782033239127,1512.782033239127,28957336
2024-07-01,1541.5599365234375,1560.5805616644209,1537.138282854078,1543.9066370278445,7724306
2024-07-02,1546.525146484375,1554.7509013864856,1538.4475077589818,1550.7985635373939,7749246
2024-07-03,1533.927001953125,1556.2329594590622,1524.391963189475,1547.661278880494,9049620
2024-07-04,1535.5079345703125,1548.822348177101,1532.321386398175,1538.447461634288,6837176
2024-07-05,1569.695556640625,1579.4528899457323,1529.5546284867023,1535.3101717849263,12269710
2024-07-08,1581.824462890625,1589.6303543798022,1563.6684106310508,1570.0662334946016,9500806
2024-07-09,1571.3260498046875,1581.4291893561121,1561.6675000170792,1578.5637202787966,6960002
2024-07-10,1565.3480224609375,1578.4648673124634,1544.5241914718106,1575.9946562525065,7134578
2024-07-11,1561.815673828125,1585.1344421846698,1551.786592769845,1568.5840280306456,11940946
2024-07-12,1577.6990966796875,1586.023756297877,1555.7389442164904,1565.619788574804,12924784
2024-07-15,1578.1932373046875,1586.7154660951303,1566.607970695329,1585.332123675554,5329688
2024-07-16,1557.4681396484375,1580.9351457176842,1550.4280378276635,1574.5125966882063,9386838
2024-07-18,1567.7689208984375,1574.9078068261192,1539.2625884242743,1557.2210712967385,12298374
2024-07-19,1536.6195068359375,1571.0294984478235,1534.2975325767013,1567.1018870092746,13140390
2024-07-22,1482.793701171875,1519.1798633102128,1481.4103587992008,1518.9328421942273,19674376
2024-07-23,1470.1707763671875,1487.8080584659276,1445.5674511277782,1483.1146576505776,18052044
2024-07-24,1477.8778076171875,1491.5134207568017,1458.8078508242754,1467.3053526491226,11913362
2024-07-25,1474.6171875,1482.595920809754,1459.474721651074,1463.3530011800513,12519876
2024-07-26,1491.044189453125,1494.4037007697482,1472.59166375446,1474.6172851615388,9859940
2024-07-29,1501.9871826171875,1509.2990318372968,1493.7614276294273,1493.9342700426573,7538550
2024-07-30,1495.119873046875,1506.8286485865085,1492.0073831905756,1498.9486999408243,8228208
2024-07-31,1487.4869384765625,1492.4519658681731,1483.2628537354879,1486.0788700242824,10057346
2024-08-01,1497.2445068359375,1499.9122867676688,1486.3755772216791,1493.983779705346,10764222
2024-08-02,1481.4595947265625,1491.3404387261814,1475.481756476256,1487.0670219426547,10268248
2024-08-05,1430.0792236328125,1466.2184833782828,1416.1719837774867,1462.3649300475706,17046704
2024-08-06,1438.700439453125,1459.8948030686215,1434.0316438440889,1437.8111393077952,10236186
2024-08-07,1447.3707275390625,1454.954323788822,1444.0853950542364,1451.4960282823629,8174568
2024-08-08,1431.85791015625,1447.5437511456266,1428.6960880928925,1440.157843842289,12387192
2024-08-09,1456.73291015625,1458.9066476361847,1438.6509170052725,1442.603254689353,6249776
2024-08-12,1443.2208251953125,1455.4483700557605,1440.3800824499558,1452.4841167562581,8184584
2024-08-13,1446.1851806640625,1452.5582774619256,1440.6272053348387,1443.3444377180147,6265064
2024-08-14,1444.4312744140625,1454.4603560192809,1436.3783617708266,1446.1110904012166,6267466
2024-08-16,1460.58642578125,1462.7602840003062,1440.676620060605,1451.1502913945535,9416902
2024-08-19,1475.65625,1485.47150978375,1467.8238660907393,1469.8067419652286,13797742
2024-08-20,1483.1416015625,1491.0484162933285,1477.2674041310693,1484.4057091952604,8411808
2024-08-21,1485.8433837890625,1494.964564922092,1477.2426107826689,1480.464784262564,7769996
2024-08-22,1485.2979736328125,1493.6012664349316,1477.8869991875908,1490.1312336221058,10445782
2024-08-23,1487.1322021484375,1498.3849993365056,1485.5955458508122,1490.8749048344312,9249654
2024-08-26,1499.649169921875,1509.9601498448217,1490.1313888488291,1494.0723308917522,8816114
2024-08-27,1487.6031494140625,1500.516654009415,1486.6117113802566,1497.5671500638725,6251156
2024-08-28,1485.4716796875,1494.5680511870519,1480.2170096090344,1492.1142662167426,9610286
2024-08-29,1507.90283203125,1523.8401488737275,1481.2083164719252,1490.2303777286736,38335358
2024-08-30,1496.6995849609375,1526.5418444404818,1490.4534771750382,1520.865886117465,41620730
2024-09-02,1503.2679443359375,1513.7276641806195,1493.7253530981907,1497.9389648135596,11240852
2024-09-03,1496.203857421875,1509.9600595401412,1494.5927706873033,1508.2250430567562,10923800
2024-09-04,1501.5823974609375,1504.50709100704,1486.6612078847159,1487.850885016148,11983304
2024-09-05,1480.192138671875,1512.7113538076746,1474.3179410781217,1506.0439573959175,16264168
2024-09-06,1452.2830810546875,1484.182646260627,1449.110527949692,1479.721175380084,19394228
2024-09-09,1449.928466796875,1457.3395627288749,1443.1371406451965,1453.943839140462,9010298
2024-09-10,1449.011474609375,1459.446383962114,1445.0952218200862,1447.995226435091,10768260
2024-09-11,1439.072265625,1456.1745712275017,1435.1561339115874,1450.5234230036904,9760202
2024-09-12,1467.1298828125,1473.2767495080643,1433.4953029575859,1444.5250498204912,22349376
2024-09-13,1460.016357421875,1470.451266381587,1456.918113729867,1463.7590600068495,8711328
2024-09-16,1458.7523193359375,1468.2206009201684,1452.2088525514882,1464.8993077290233,5481774
2024-09-17,1459.6942138671875,1464.8248328952707,1454.0677548146177,1461.3796100548857,5935328
2024-09-18,1450.9197998046875,1469.3110219373734,1448.0447266088618,1457.413766699014,8574714
2024-09-19,1457.0916748046875,1463.8581906691413,1443.0876132109174,1453.6959512825117,16955902
2024-09-20,1473.2025146484375,1482.1997658201985,1458.7770437683578,1461.3795684407844,30897320
2024-09-23,1480.5887451171875,1488.6441789861601,1476.2015834923338,1478.2340798324108,8832314
2024-09-24,1476.6229248046875,1487.6526722077606,1475.1357678514642,1475.7554165819738,17137444
2024-09-25,1481.15869140625,1483.6869066134093,1467.5264194610884,1471.1948125268714,7069002
2024-09-26,1485.12451171875,1491.122760061236,1475.309372285805,1477.8870868947113,18818998
2024-09-27,1513.10791015625,1520.345334807694,1479.2254687210307,1486.1655345930462,20597478
2024-09-30,1463.9324951171875,1511.9181178232873,1461.7761901136828,1506.3908994638518,27008814
2024-10-01,1452.2830810546875,1475.2100841908111,1450.3002051077794,1467.9726595996829,16431642
2024-10-03,1394.928466796875,1436.9902726871705,1390.070396353704,1424.2750076222521,37757294
2024-10-04,1374.653564453125,1405.2145916660443,1369.9442340651563,1391.9046094477658,37072876
2024-10-07,1358.98876953125,1384.5431070803497,1349.7188488374588,1381.568793209071,22181340
2024-10-08,1385.3857421875,1389.004514771482,1353.4118695241307,1361.2194430814652,17020808
2024-10-09,1362.8306884765625,1388.979866453412,1360.7486928237201,1385.5594536683957,14310610
2024-10-10,1359.31103515625,1374.132983939481,1357.699948504806,1368.209166456891,22358646
2024-10-11,1360.35205078125,1371.4314188021033,1357.1050671377104,1358.2700551936466,7980122
2024-10-14,1360.7734375,1368.2587216327886,1356.5350159311083,1367.6390728953818,12221432
2024-10-15,1332.5174560546875,1359.9554295521655,1329.2208521541709,1346.8933067731043,33762794
2024-10-16,1342.4814453125,1352.3215164873245,1326.1723376036346,1328.5270030007441,20034438
2024-10-17,1344.811279296875,1356.7332239102464,1340.4737382347967,1354.0067695283685,15543660
2024-10-18,1347.66162109375,1356.70849216764,1329.840427555484,1340.5976258716714,12082452
2024-10-21,1357.4769287109375,1362.2358797577067,1346.1002013000875,1355.4197431686716,14067408
2024-10-22,1331.84814453125,1364.2186177698431,1328.749900940748,1357.4767913068545,15831960
2024-10-23,1327.064453125,1345.8521531156357,1323.5696102860716,1326.048205061888,17214742
2024-10-24,1328.3287353515625,1332.1952468902052,1311.7964576126847,1323.8424540123256,22155934
2024-10-25,1316.4808349609375,1332.8395608533488,1310.6809472586556,1331.996862815434,18597496
2024-10-28,1322.9251708984375,1341.4155124030337,1310.7800563182918,1325.552505604476,10824350
2024-10-29,1328.52685546875,1331.6994085045892,1308.995576227512,1316.728719636798,12008361
2024-10-30,1332.3935546875,1338.4413022928309,1314.0023313459362,1323.569732267355,11984423
2024-10-31,1320.64501953125,1331.5012170832633,1314.7955112005386,1328.5269031210519,9331650
2024-11-01,1327.1884765625,1330.4601492824747,1321.5868277686543,1321.6364480777281,2127335
2024-11-04,1291.0009765625,1328.52687951389,1274.0969107675833,1326.3952636738204,19796890
2024-11-05,1294.1240234375,1298.337634786513,1275.1379622128013,1281.9292880644173,16267479
2024-11-06,1314.0023193359375,1316.9271340293028,1289.0676296160968,1298.7837703539942,21625209
2024-11-07,1294.4710693359375,1312.6639327180499,1291.4471349781516,1312.6639327180499,9611974
2024-11-08,1272.7584228515625,1290.505185727704,1264.0833410989228,1286.5394340693545,19814406
2024-11-11,1261.802978515625,1274.9891511168566,1256.151830843746,1267.9994654475693,9056552
2024-11-12,1263.33984375,1278.2610337323058,1256.6476373969983,1264.6287615317467,10671091
2024-11-13,1241.3299560546875,1264.5295076822267,1238.8017408266169,1259.374078659472,14633633
2024-11-14,1256.746826171875,1261.7040163358736,1240.38809863068,1242.866693712679,12612633
2024-11-18,1249.9554443359375,1262.0014401044657,1233.24973843027,1256.7467703539512,13620611
2024-11-19,1231.0189208984375,1270.5276979121372,1224.5745744010292,1249.9553610165642,14183746
2024-11-21,1212.5286865234375,1233.299264427905,1206.8279179645579,1231.0190296194417,19433843
2024-11-22,1254.5655517578125,1257.9859641270039,1211.983221035894,1218.8737871048172,20471957
2024-11-25,1275.9805908203125,1293.2811339485756,1271.4694999174592,1278.9549045518283,28923341
2024-11-26,1284.606201171875,1286.737817131633,1273.2046638791435,1283.8626226527838,9247557
2024-11-27,1282.1275634765625,1292.6864023015983,1274.9892583407009,1282.4250432843673,9572746
2024-11-28,1259.91943359375,1285.4984608667178,1258.184417128475,1278.905374093644,15027412
2024-11-29,1281.1361083984375,1288.3736540571424,1264.3312830599236,1269.0406134614407,13202307
2024-12-02,1297.941162109375,1300.1222774340952,1266.1160245478172,1276.9722229086012,11024152
2024-12-03,1311.9698486328125,1315.4398813546288,1295.8093621182986,1305.7237413234882,16869482
2024-12-04,1297.74267578125,1317.0262168141671,1292.884726573221,1314.6467414933138,19608540
2024-12-05,1310.7305908203125,1318.5628538088617,1294.966703202915,1303.0964459866593,16858723
2024-12-06,1300.3204345703125,1312.5646685095264,1298.783657405313,1312.5646685095264,9037514
2024-12-09,1284.0609130859375,1303.7409326166044,1282.0284168341586,1291.8436769577456,14650002
2024-12-10,1273.8489990234375,1283.812998621138,1269.238788448007,1278.2113501165884,16043729
2024-12-11,1267.2559814453125,1278.9549980546296,1265.1244866020038,1273.9978081396894,11724373
2024-12-12,1252.0870361328125,1267.25596445406,1249.8066803924569,1259.1262215126183,20906813
2024-12-13,1261.951904296875,1264.2817595214547,1228.986588963027,1249.2119494931856,28630222
